,latitude,longitude,brightness
260,-33.1029,150.6047,318.5
261,-33.1044,150.5935,373.2
262,-33.1058,150.5821,359.9
263,-33.1073,150.5707,338.6
264,-33.1365,150.3399,336.4
265,-33.138000000000005,150.3281,333.0
266,-33.0965,150.5802,353.4
267,-33.098,150.5689,380.0
268,-33.1286,150.3264,328.9
269,-33.088,150.5955,350.9
270,-33.0895,150.5842,377.0
271,-33.091,150.5728,359.7
272,-33.1222,150.33100000000002,330.4
273,-33.1238,150.3188,328.3
274,-33.0817,150.5711,364.0
275,-33.0832,150.5598,356.4
276,-33.1129,150.3293,361.5
277,-33.1144,150.3176,378.2
278,-33.0739,150.5579,359.9
279,-33.0754,150.5465,353.7
280,-33.102,150.3392,344.1
281,-33.1035,150.3275,390.7
282,-33.1049,150.3162,332.1
283,-33.0616,150.5792,352.0
284,-33.0631,150.5677,379.0
285,-33.0646,150.5563,378.9
286,-33.0661,150.5448,351.6
287,-33.0941,150.326,323.7
288,-33.0524,150.5773,347.7
289,-33.0538,150.566,372.4
290,-33.0553,150.5547,382.2
291,-33.0847,150.3244,367.2
292,-33.0862,150.3129,369.2
293,-33.0445,150.5644,345.1
294,-33.046,150.553,358.1
295,-33.0367,150.5513,362.4
296,-33.0381,150.5401,338.0
297,-33.0288,150.5383,358.9
298,-33.0303,150.52700000000002,391.7
299,-33.0317,150.5157,344.2
300,-33.0434,150.4239,333.5
301,-33.0448,150.4125,334.8
302,-33.021,150.525,323.3
303,-33.0224,150.5138,360.5
304,-33.0238,150.5025,353.5
305,-33.0253,150.491,364.5
306,-33.0268,150.4795,395.5
307,-33.0282,150.4682,338.5
308,-33.034,150.4222,332.2
309,-33.0355,150.4108,353.7
310,-33.016,150.4892,342.4
311,-33.0175,150.4778,385.3
312,-33.0189,150.4664,356.8
313,-33.0204,150.4548,331.9
314,-33.0218,150.4433,356.6
315,-33.0233,150.43200000000002,337.7
316,-33.0247,150.4205,340.4
317,-33.0261,150.4091,331.9
318,-33.0116,150.4827,326.5
319,-33.0131,150.4713,351.2
320,-33.0146,150.4598,343.5
321,-33.0161,150.4483,348.0
322,-33.0175,150.4369,338.6
323,-33.019,150.4256,331.9
324,-33.0205,150.4142,321.9
325,-32.6857,151.3439,340.8
326,-32.0816,152.4315,321.4
327,-32.0742,152.4191,327.4
328,-32.0757,152.4086,334.8
329,-32.0652,152.4173,336.3
330,-32.0667,152.4067,363.3
331,-32.0443,152.3695,372.6
332,-32.0338,152.3782,331.4
333,-32.0354,152.3676,383.0
334,-32.0369,152.3571,355.7
335,-32.0384,152.3465,340.5
336,-32.0279,152.3552,338.4
337,-32.0294,152.3447,368.9
338,-32.031,152.3341,328.2
339,-32.0208,152.3483,371.8
340,-32.0224,152.3377,399.1
341,-32.0239,152.3271,346.9
342,-32.0134,152.3359,401.3
343,-32.0149,152.3253,406.2
344,-32.0164,152.3148,337.6
345,-31.9813,152.4927,325.6
346,-31.9828,152.4821,338.9
347,-32.0013,152.3552,335.7
348,-32.0044,152.3341,340.8
349,-32.0059,152.3235,360.6
350,-31.9708,152.5014,330.7
351,-31.9723,152.4908,370.6
352,-31.9738,152.4802,369.2
353,-31.9754,152.4697,345.2
354,-31.9923,152.3534,343.4
355,-31.9939,152.3428,402.1
356,-31.9954,152.3323,396.7
357,-31.9969,152.3217,360.3
358,-31.9633,152.489,326.1
359,-31.9803,152.3727,347.3
360,-31.7791,152.3631,351.8
361,-31.7806,152.3526,380.7
362,-31.7822,152.342,346.5
363,-31.7701,152.3613,335.6
364,-31.7716,152.3507,340.0
365,-31.7732,152.3402,328.6
366,-31.7734,152.2751,345.1
367,-31.7749,152.2646,367.6
368,-31.7764,152.2541,344.6
369,-31.778000000000002,152.2435,327.8
370,-31.688000000000002,152.7912,324.6
