latitude,longitude,frp
-31.7739,152.0229,19.7
-31.7734,152.2751,35.7
-31.7732,151.9542,44.0
-31.7732,152.3402,9.9
-31.7731,152.0192,212.3
-31.7726,152.2581,7.8
-31.7721,152.0494,23.1
-31.7721,152.1348,31.5
-31.7717,151.9648,81.0
-31.7716,152.0297,21.9
-31.7716,152.3507,27.1
-31.7715,152.1596,18.4
-31.7711,152.1349,91.9
-31.7706,152.1918,16.8
-31.7701,152.0403,16.0
-31.7701,152.3613,20.2
-31.7699,152.1702,7.0
-31.7695,152.1814,14.5
-31.7694,152.1203,65.9
-31.7686,152.0508,28.8
-31.7685,151.9712,12.1
-31.7672,152.0881,103.2
-31.7671,152.0613,106.1
-31.7669,152.1669,16.9
-31.7665,152.1042,56.8
-31.7659,152.2628,12.6
-31.7657,152.0069,13.4
-31.7656,152.0718,53.5
-31.7644,152.2733,13.2
-31.7641,152.0174,10.4
-31.7641,152.0824,13.6
-31.764,152.1473,20.4
-31.763,152.1085,262.6
-31.7627,151.963,22.0
-31.7625,152.1578,23.5
-31.7587,152.1224,44.9
-31.7566,152.07,23.0
-31.7558,152.1064,107.0
-31.755,152.1455,16.7
-31.7544,152.0844,95.1
-31.7529,152.0907,77.4
-31.7492,151.9278,9.5
-31.7491,152.0577,20.3
-31.7476,152.0682,33.8
-31.746,152.1437,15.1
-31.7402,151.9261,29.8
-31.7401,152.0559,139.2
-31.7387,151.9366,22.3
-31.7386,152.0664,31.5
-31.737,152.1419,32.7
-31.7355,152.1524,41.5
-31.7346,151.9237,22.1
-31.733,151.9225,12.6
-31.7312,151.9243,26.0
-31.730999999999998,152.1839,10.5
-31.7297,151.9348,12.2
-31.7282,151.9454,58.5
-31.728,152.1401,16.3
-31.7267,151.9559,25.4
-31.7265,152.1506,12.9
-31.7252,151.9664,124.6
-31.7251,151.9401,19.6
-31.7237,151.9121,36.7
-31.7237,151.9769,238.5
-31.7224,151.9256,36.0
-31.7223,151.9183,34.1
-31.7222,151.9226,56.9
-31.7222,151.9874,33.4
-31.7207,151.9331,160.6
-31.7207,151.9979,29.4
-31.7201,152.4289,28.1
-31.7197,151.9717,43.8
-31.7192,151.9436,353.4
-31.7177,151.9541,131.7
-31.7177,152.019,42.6
-31.7175,151.9419,47.2
-31.7175,152.0198,30.2
-31.7171,151.9576,46.8
-31.7162,151.9646,27.1
-31.7162,152.0295,115.9
-31.7155,152.0179,43.9
-31.715,151.9156,24.1
-31.715,152.4465,16.2
-31.7147,151.9751,92.9
-31.7147,152.04,23.5
-31.7147,152.454,25.1
-31.7146,152.0045,17.7
-31.7145,151.9435,25.2
-31.7135,151.8611,28.0
-31.7135,151.9261,49.0
-31.7132,151.9856,96.7
-31.7131,152.0235,47.1
-31.7125,152.4325,38.1
-31.7124,151.9672,103.4
