,latitude,longitude,acq_date,frp
137,-35.62,148.221,1,133.8
138,-35.626999999999995,148.225,1,185.5
139,-35.624,148.185,1,124.0
140,-35.19,150.475,1,226.8
141,-35.193000000000005,150.48,1,204.2
142,-34.004,142.274,1,12.6
143,-33.964,142.203,1,13.9
144,-33.954,142.205,1,25.6
145,-34.264,149.961,1,88.4
146,-34.264,149.967,1,86.9
147,-33.912,150.459,1,143.6
148,-33.914,150.464,1,186.8
149,-33.825,150.066,1,157.2
150,-33.825,150.07299999999998,1,166.9
151,-32.016999999999996,135.796,1,16.1
152,-32.008,135.798,1,13.7
153,-31.113000000000003,132.741,1,15.2
154,-31.101999999999997,132.731,1,13.0
155,-29.24,128.041,1,55.6
156,-29.066999999999997,128.27700000000002,1,84.8
157,-29.051,128.282,1,97.0
158,-29.041999999999998,128.245,1,61.9
159,-29.026,128.249,1,69.4
160,-29.061,128.285,1,175.3
161,-29.035999999999998,128.252,1,209.0
162,-28.949,128.789,1,52.1
163,-28.941,128.754,1,66.9
164,-28.948,128.75799999999998,1,53.9
165,-28.737,128.87,1,51.5
166,-28.467,128.502,1,126.2
167,-28.458000000000002,128.465,1,178.2
168,-28.461,128.511,1,103.5
169,-28.453000000000003,128.474,1,298.9
170,-28.447,129.445,1,120.3
